Title,Company,Location,URL
Data Analyst,IDN Media,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-idn-media-3534493318?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=rV2VIEmIi1tBBMuUEfb7nQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,TOG Indonesia,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-tog-indonesia-3518882651?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=momWkR1TCaDl1wM6t%2BrFPg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Makmur.id,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-makmur-id-3496480281?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=XFff61Qhh%2BPCl99MjNmR4w%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,RCTI+,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-rcti%2B-3545493871?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=Wvyp8LtPLuEdNGGK9k2rTA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Female Daily Network,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-female-daily-network-3492212422?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=BW6yfGIbxhIUupVQ3ff1Uw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Waresix,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-waresix-3550380078?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=s9WdZ8QBTA9peGzFzC9KlA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Junior Data Analyst,NoLimit Indonesia,"Bandung, East Java, Indonesia",https://id.linkedin.com/jobs/view/junior-data-analyst-at-nolimit-indonesia-3518009653?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=0BgszgTAChvBXNCXsPBMQA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Schoters,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-schoters-3510998180?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=fUZ9OCqOhiPNXYTEF%2Bm8hw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Kawan Lama Group,"West Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-kawan-lama-group-3524601658?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=n2XQkRHCsVf%2F0r5dVlZjKA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,PT Graha Karya Informasi,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-pt-graha-karya-informasi-3532627090?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=a84jGZ9iMOba8EM2FkeoAQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Hakuhodo Digital Indonesia,"Duri Selatan, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-hakuhodo-digital-indonesia-3551266475?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=nmwNlxeMoDyq4zmnetySrg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Accelist Lentera Indonesia,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-accelist-lentera-indonesia-3518014104?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=hrj9nJ9%2FqnagIFmXyetiEw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Populix,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-populix-3544432540?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=edkF%2FfzXKn%2BilvxTwiq%2BrQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Manajemen Pelaksana Program Kartu Prakerja,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-manajemen-pelaksana-program-kartu-prakerja-3517213483?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=vox8ByTzrlXmq6zLLOFHsg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Finku,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-finku-3536203260?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=TZk7AMYLtAYDSp0lFUFvtQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (APAC),Cadmus,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-apac-at-cadmus-3505887930?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=HavryVLmztsIvtzqasv55g%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,UENA,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-uena-3503651194?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=gy1GLcw8wMmo0wIyocVXIA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,JALA,"Yogyakarta, Yogyakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-jala-3536199590?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=%2BYe5hjD%2BHBN6DS7e%2FH1ZnQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Amar Bank,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-amar-bank-3488672357?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=GHlZZPAH53dzhbxlBXX04w%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,JALA,"Sleman, Yogyakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-jala-3504452389?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=5ha21HovF0PIYRIKQiGZOQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (Remote),Campaign.com,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-remote-at-campaign-com-3544997280?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=9%2FqPu8Ixt%2F%2F%2BTpxnUNTsIQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Antifraud,Amar Bank,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-antifraud-at-amar-bank-3539644848?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=NTzgavVXRICg7KoM10mF1g%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,PT Macra Teknologi Indonesia,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-pt-macra-teknologi-indonesia-3518009871?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=IlKrVJN9MGC5%2Fb7080Tg0A%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Stamps Indonesia,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-stamps-indonesia-3518670934?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=7TxUTgx%2FvF3rGyUho8EM3Q%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,PT SABOTEN MILENIAL INDONESIA,"Malang, East Java, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-pt-saboten-milenial-indonesia-3498111715?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=rUJI08Axu%2Fp0MhS53SrdFw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,FOOM LAB GLOBAL,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-foom-lab-global-3521800467?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=Ze5WmTJBobKpcd7rU%2FhiRw%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,Packet Systems Indonesia (Official Account),"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-packet-systems-indonesia-official-account-3529383767?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=Q%2F3AC6sMenK3HGPvRE9nzw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,Hypefast,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-hypefast-3482962358?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=q0GraEkZf5A0FnBbugMKsA%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,Packet Systems Indonesia (Official Account),"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-packet-systems-indonesia-official-account-3465578541?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=52DyHJKciaESBX45AlFY7Q%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,Paper.id,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-paper-id-3438719660?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=ysQPy2A%2BlNPe%2B7vBPtxzqQ%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,Celerates,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-celerates-3502053155?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=fgCWqgmdJuGpeu%2F%2BpRCgzQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
Real-Time Analyst (Data Analyst),Gear Inc.,"Surabaya, East Java, Indonesia",https://id.linkedin.com/jobs/view/real-time-analyst-data-analyst-at-gear-inc-3466541169?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=m5FP6rTInb%2FMp%2BU8mlkwBg%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,Talent Insider,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-talent-insider-3533807169?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=1jrIAVrBefF408zDP8rqDg%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
"Manager, Data Analyst",Bank Jasa Jakarta,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/manager-data-analyst-at-bank-jasa-jakarta-3520890210?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=k5uWoBFw4AErvT2M7nk7kQ%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst KG Media,KOMPAS GRAMEDIA,"West Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-kg-media-at-kompas-gramedia-3495993980?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=j9xguE29WKOlSuahPA1VwA%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst Executive,AdAsia Holdings,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-executive-at-adasia-holdings-3520744509?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=ihA4JBHabB54Zus2o1EYNQ%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst (Amaan Project),DKATALIS,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-amaan-project-at-dkatalis-3492537206?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=ma6OWu%2BJmMcgkTmVWr4%2B8g%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst / Senior (Remote),"Love, Bonito",Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-senior-remote-at-love-bonito-3539270102?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=aw74Xa2iO2K65U3EWE1VyQ%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
Expert Logistic Data Analyst,Asia Pulp & Paper,"Tangerang Selatan, Banten, Indonesia",https://id.linkedin.com/jobs/view/expert-logistic-data-analyst-at-asia-pulp-paper-3530267649?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=390Wft8USvSSjEa0kQ9q1g%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
Analyst Data Support,PT MITRA UTAMA MADANI,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/analyst-data-support-at-pt-mitra-utama-madani-3477065196?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=TYg6xhmKyE%2Bm39ClihvkFw%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Engineer,CIMB Niaga,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-engineer-at-cimb-niaga-3544564401?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=wo80w1wpPmB3CcDhkh1Hjg%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
Product Data Analyst,DKATALIS,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/product-data-analyst-at-dkatalis-3550669109?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=4ajF7jGe2GKHJ%2BwkF9KcYA%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
Senior Data Analyst,JULO,Indonesia,https://id.linkedin.com/jobs/view/senior-data-analyst-at-julo-3534887394?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=ASNnp3VxPUlXetkob4%2FaTA%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analytics and Reporting Analyst,PT. Serasi Autoraya,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analytics-and-reporting-analyst-at-pt-serasi-autoraya-3498117236?refId=KWY2tl0djJuZc6n0QLbqow%3D%3D&trackingId=uyVd7mADhkYqrEOXlFU%2BFQ%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
Senior Data Analyst,Funding Societies | Modalku Group,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/senior-data-analyst-at-funding-societies-modalku-group-3538900166?refId=vjaRA%2F4sNZF2Q8BP5Urqpg%3D%3D&trackingId=SatKlMg7AVXpyOqwBA43QA%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
Sales Data Analyst,Liven,"Denpasar, Bali, Indonesia",https://id.linkedin.com/jobs/view/sales-data-analyst-at-liven-3535697861?refId=vjaRA%2F4sNZF2Q8BP5Urqpg%3D%3D&trackingId=7egn%2Fu0mU4KZCGSMZiBJNw%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Quality Analyst,Astra Financial,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-quality-analyst-at-astra-financial-indonesia-3553101884?refId=vjaRA%2F4sNZF2Q8BP5Urqpg%3D%3D&trackingId=BDjoiUXBOmA5wwkvVi5YDg%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Analyst/Scientist,iOPEX Technologies,Indonesia,https://id.linkedin.com/jobs/view/data-analyst-scientist-at-iopex-technologies-3549921617?refId=vjaRA%2F4sNZF2Q8BP5Urqpg%3D%3D&trackingId=AMLb%2FuLW0KbRjhmz7V%2BusA%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
"HR & Data Analyst, Executive",Qraved,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/hr-data-analyst-executive-at-qraved-3492536819?refId=vjaRA%2F4sNZF2Q8BP5Urqpg%3D%3D&trackingId=F1p1GruI%2B2jdvhI1elDtJg%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Data Analyst (Logistics Tech),byOrange,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/senior-data-analyst-logistics-tech-at-byorange-3491158936?refId=vjaRA%2F4sNZF2Q8BP5Urqpg%3D%3D&trackingId=EFf%2FYsQOjn%2FdHCaV%2B7cy%2Bw%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
Digital Support Analyst,IKEA,"Tangerang, Banten, Indonesia",https://id.linkedin.com/jobs/view/digital-support-analyst-at-ikea-3534464897?refId=vjaRA%2F4sNZF2Q8BP5Urqpg%3D%3D&trackingId=yIIRUCasUNJG9Jbde3Zycw%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Analyst - Portfolio Management,DKATALIS,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-portfolio-management-at-dkatalis-3494358395?refId=vjaRA%2F4sNZF2Q8BP5Urqpg%3D%3D&trackingId=a4T1f588TPHf9wpscJa16Q%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
Digital Analyst,Bank Mega,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/digital-analyst-at-bank-mega-3517195385?refId=vjaRA%2F4sNZF2Q8BP5Urqpg%3D%3D&trackingId=3yMG6rEWIJs00l9iQyg1Bw%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Analyst / ETL Developer,PT. Intikom Berlian Mustika,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-etl-developer-at-pt-intikom-berlian-mustika-3534582798?refId=vjaRA%2F4sNZF2Q8BP5Urqpg%3D%3D&trackingId=EjhIfUIyfAqaJINpMBUzNw%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Data Analyst,EdenFarm,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/senior-data-analyst-at-edenfarm-3495753857?refId=vjaRA%2F4sNZF2Q8BP5Urqpg%3D%3D&trackingId=uAB%2FoBN72SWvRh6LVkl1tw%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Analyst Expert,MatchaTalent,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-expert-at-matchatalent-3514014999?refId=vjaRA%2F4sNZF2Q8BP5Urqpg%3D%3D&trackingId=qTBMobmQ7KtdzVrWvyvzuQ%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Data Analyst,Catalyst,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/senior-data-analyst-at-catalyst-3474789300?refId=vjaRA%2F4sNZF2Q8BP5Urqpg%3D%3D&trackingId=S4TBgUm22fVzBcUnhNRTjA%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Analyst Expert,MatchaTalent,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-expert-at-matchatalent-3546278364?refId=vjaRA%2F4sNZF2Q8BP5Urqpg%3D%3D&trackingId=QAu79Am6J1dFIFs95S1wVQ%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
