Title,Company,Location,URL,Description
Data Analyst,IDN Media,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-idn-media-3534493318?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=rV2VIEmIi1tBBMuUEfb7nQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
 Job Description Collecting, interpreting, and auditing data Providing comprehensive analysis Providing complete reports to the relevant stakeholders and team members Identifying patterns and trends in data sets Working alongside teams within the business or the management team to establish business needs Defining new data collection and analysis processes Minimum Qualifications Graduated with Bachelor Degree in Mathematics / Statistics / Computer Science 1-2 years of working experience in data science or analytics in a reputable company. Coming from a media company or startup is a plus Good programming and scripting skills (Python/ R/ Spark, etc) Good understanding of big data infrastructure and query languages (HDFS/ SQL/ Hive) Strong analytical and planning skills Good communication and presentation skills Excellent problem-solving skills Familiar with Tableau/ Power BI Good data preparation and presentation Good attention to details 
"
Data Analyst,TOG Indonesia,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-tog-indonesia-3518882651?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=momWkR1TCaDl1wM6t%2BrFPg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
 The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users.    Responsibilities Melakukan ekstraksi data dari berbagai sumber ke berbagai format (database, BI Tools, Excel, etc) Mendesain dan implementasi database Membuat report dengan visualisasi yang sesuai untuk mengakomodir kebutuhan informasi user internal maupun eskternal Melakukan identifikasi, analisa, dan interpretasi data Menghasilkan indight yang bermanfaat bagi bisnis Mempresentasikan hasil analisa dan temuan Qualifications S1, jurusan Ilmu Komputer, Matematika, Teknik Elektro/Fisika Memiliki pengalaman minimal 3 tahun di bidang Data Analyst Berpengalaman menggunakan Office, SQL, SQL Server, I Tools (Microstrategy, Power BI, Tableau, etc), dan software statistika Terbiasa melakukan query, pembuatan report, dan presentasi Berpengalaman dengan tools big data menjadi nilai plus 
"
Data Analyst,Makmur.id,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-makmur-id-3496480281?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=XFff61Qhh%2BPCl99MjNmR4w%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
 The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users.    Responsibilities: Answer business questions from product and marketing using available big data such as financial transactions, web/mobile product interactions, and advertisement responses Work with product managers and marketing to understand their analytical needs and communicate results clearly, both verbally and in writing Take initiative to create new insights that will improve product and marketing projects Knowledge of product/marketing metrics and attribution models Access, transform, visualize, and model datasets with minimal engineering support Pre-process data: data cleaning and deriving new features Visualize data using tools like Excel, Tableau, Google Data Studio, or MongoDB Charts Qualifications: Minimum 2 years of work experience in Data Science or related field Bachelor's or Master's degree in Computer Science (Artificial Intelligence / Machine Learning), Statistics, or Mathematics Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy Working knowledge of machine learning (regression, classification, clustering) Working knowledge of Python and SQL (MongoDB is a plus) 
"
Data Analyst,RCTI+,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-rcti%2B-3545493871?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=Wvyp8LtPLuEdNGGK9k2rTA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
 Responsibilities a. Identifying potential growth opportunities through data exploration & analysis b. Collaboratively work with stakeholders to define problem and to provide actionable insight based on data-driven approached c. Developing scalable data products (descriptive dashboard model, Diagnostic dashboard, Tracker & data points development) that drives business/products growth d. Working collaboratively with data engineer designing data pipelines and ETL model Basic Qualification  a. Min. 1+ year of professional experience in Data Analytics, Business Analytics, or related field working with Data b. Experience in crafting engaging and compelling data insights for business stakeholders and diverse audience. c. Bachelor's degree in a quantitative discipline such as Statistics, Engineering, Sciences, Economics, or Mathematics d. Experience in SQL and scripting/statistical programming language (ex: python, R) e. Experience in use BI Tools (Ex : Google Analytic 4, Google Data Studio, Power BI) f. Strong ability to distill and translate business cases into clearly defined data analytics problem 
"
Data Analyst,Female Daily Network,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-female-daily-network-3492212422?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=BW6yfGIbxhIUupVQ3ff1Uw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"
 Job Descriptions  Helping develop reports and Female Daily's specific analysis needs Conduct research on industry trends, and user behavior using surveys, FGDs, and report insights derived from them Creating custom research and/or surveys for clients/brands Conduct Best of Beauty Awards survey/poll regularly publish infographics/insights: monthly and quarterly Requirements  Work experience as a data analyst or in a related field  Ability to work with stakeholders to assess potential risks  Ability to analyze existing tools and databases and provide software solution recommendations  Ability to translate business requirements into non-technical, lay terms  High-level experience in methodologies and processes for managing large-scale databases.  Demonstrated experience in handling large data sets and relational databases  Understanding of addressing and metadata standards  High-level written and verbal communication skills  Fluence with Metabase, google analytic, mixpanel, and pma database Willing to work in hybrid mode infer insights from existing data in FD platform
      "
Data Analyst,Waresix,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-waresix-3550380078?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=s9WdZ8QBTA9peGzFzC9KlA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
 Requirements Bachelor’s degree from an accredited university or college in Computer Science, Business, Finance, Economics, Statistics, or Industrial Engineering or similar expertise. At least 1 year of working experience in the related field is required for this position. Very strong analytical skills with the ability to identify trends, draw conclusions and develop actionable recommendations from data. Very strong written and verbal communication skills (Bahasa & English); ability to effectively communicate and present data and insights to both internal and external teams. Very strong knowledge of and experience with query (SQL) and data visualization tools. Self-starter with strong attention to detail and ability to drive insights in a fast-paced environment. Has initiatives, planning skills, and excellent problem-solving skills. Knowledge in the logistics industry will be an advantage. Knowledge of transformation tools (e.g. Looker, Holistics, dbt) will be an advantage. Knowledge in data processing using Python will be an advantage. Providing a data visualization portfolio will be an advantage. Responsibilities Provides clear and concise insights to support the decision making process. Provides analytical support to track and analyze critical metrics. Interpret data, analyze results using statistical techniques and provide ongoing reports. Maintain the data model to support self-serve BI Tools. Act as data domain expert for several key services. 
"
Junior Data Analyst,NoLimit Indonesia,"Bandung, East Java, Indonesia",https://id.linkedin.com/jobs/view/junior-data-analyst-at-nolimit-indonesia-3518009653?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=0BgszgTAChvBXNCXsPBMQA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
 What You’ll Do Analyzing Data Reporting data and performance. Researching social media trends. Observing user needs & behavior. Keeping up to date of current events to better understand user behavior. Your Criteria Will Be Minimum Education Senior High School Proficient in Microsoft Office and data visualization. Quickly adapt to the work environment. Detail & creative personality. Skilled at creating efficient reporting tools  Have an executive presentation skills. Able to work all out to meet target deadline include weekend. If you think you’re the one please feel free to apply via the following link : nolimit.id/jobs/junior-data-analyst/
      "
Data Analyst,Schoters,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-schoters-3510998180?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=fUZ9OCqOhiPNXYTEF%2Bm8hw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,
Data Analyst,Kawan Lama Group,"West Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-kawan-lama-group-3524601658?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=n2XQkRHCsVf%2F0r5dVlZjKA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Gambaran Pekerjaan Sebagai Data Analyst, Anda bertugas untuk mengumpulkan, mengolah, dan menyajikan informasi terkait data pelanggan sehingga menjadi rekomendasi bagi tim terkait yaitu tim loyalty program business unit untuk mendukung tercapainya loyalty program yang efektif dan efisien. Kualifikasi Minimal S1 jurusan Manajemen Informatika/Statistik/Marketing. Pengalaman 1 tahun di bidang yang sama. Skill yang Dibutuhkan R Studio Python Google Data Studio AWS Presentation skill 
"
Data Analyst,PT Graha Karya Informasi,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-pt-graha-karya-informasi-3532627090?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=a84jGZ9iMOba8EM2FkeoAQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"
 Qualification  Minimum S1 in the field of IT or similar.  Minimum 3+ years in the same field.  Experience using Office, SQL, SQL Server, BI Tools (Microstrategy, Power BI, Tableau, etc), and statistical software.  Accustomed to doing queries, making reports, and presentations.  Experience with big data tools is a plus.  Have booster vaccines.  English proficiency (Moderate). Job Description  Extracting data from various sources into various formats (database, BI Tools, Excel, etc).  Database design and implementation.  Create reports with appropriate visualization to accommodate the information needs of internal and external users.  Perform data identification, analysis and interpretation.  Generate useful insights for the business.  Presenting analysis results and findings. 
"
